Section,Programme,English title,Episodes,Latest episode,Plays outside Portugal,Description (PT),Description (EN),Link
Documentaries (Portugal),Visita Guiada,Guided Tour,12+,05 set. 2026,yes,"Programa com autoria e apresentação de Paula Moura Pinheiro, o Visita Guiada conta a História do território português e das suas relações com o resto do mundo através do património histórico, material e imaterial…","Written and presented by Paula Moura Pinheiro, Visita Guiada tells the history of the Portuguese territory and its relations with the rest of the world through its historical heritage, both tangible and intangible…",https://www.rtp.pt/play/p13200/e951916/visita-guiada
Documentaries (Portugal),Hora dos Portugueses,The Portuguese Hour,12+,05 set. 2026,yes,A portugalidade sob diferentes olhares.,Portuguese identity seen from different points of view.,https://www.rtp.pt/play/p16132/e952005/hora-dos-portugueses
Documentaries (Portugal),Habitat,Habitat,4,04 set. 2026,no,"Ilhas - Neste episódio, viajamos pelas Ilhas de Portugal, onde conhecemos três pessoas diferentes que vivem apaixonadamente sua relação com a natu","Islands - In this episode, we travel through the Islands of Portugal, where we meet three different people who passionately live their relationship with natu…",https://www.rtp.pt/play/p14791/e951707/habitat
Documentaries (Portugal),Os Primeiros Alentejanos,The First Alentejans,1,03 set. 2026,yes,"Este documentário viaja até ao Neolítico, 7.000 anos antes do presente, para explorar a transformação da paisagem alentejana. A partir dos monume","This documentary travels back to the Neolithic, 7,000 years before the present, to explore the transformation of the Alentejo landscape. Based on the monu…",https://www.rtp.pt/play/p17100/e951524/os-primeiros-alentejanos
Documentaries (Portugal),Poder no Feminino: A Força das Mulheres na Europa,Female Power: The Strength of Women in Europe,3,27 ago. 2026,no,A história da Europa tem sido contada quase exclusivamente como uma narrativa de homens sobre homens... até agora. A minissérie documental de 3 epi,The history of Europe has been told almost exclusively as a narrative by men about men... until now. The 3-epi…,https://www.rtp.pt/play/p14683/e950268/poder-no-feminino-a-forca-das-mulheres-na-europa
Documentaries (Portugal),Contos do Esquecimento,Tales of Forgetting,1,27 ago. 2026,no,"Achados arqueológicos recentes em Lagos, no sul de Portugal, revelaram o passado esquecido do papel de Portugal no tráfico transatlântico de africa","Recent archaeological finds in Lagos, in southern Portugal, have revealed the forgotten past of Portugal's role in the transatlantic trafficking of Africa…",https://www.rtp.pt/play/p17065/e950594/contos-do-esquecimento
Documentaries (Portugal),Bartolomeu Cid dos Santos -  Por Terras Devastadas,Bartolomeu Cid dos Santos - Through Devastated Lands,3,24 ago. 2026,yes,"Bartolomeu Cid dos Santos (1931-2008), gravador, pintor, é um dos grandes artistas do século XX. O seu é o mundo crepuscular do fim do Império, el","Bartolomeu Cid dos Santos (1931-2008), engraver and painter, is one of the great artists of the 20th century. His is the twilight world of the end of the Empire, he…",https://www.rtp.pt/play/p15433/e949633/bartolomeu-cid-dos-santos-por-terras-devastadas
Documentaries (Portugal),Teia,Web,2,24 ago. 2026,yes,"A Trama dos Dias (26´21) - Guida Fonseca é artista, investigadora e formadora em tecelagem e tapeçaria, com atelier em Loures. Ao longo das suas vi","The Weave of the Days (26'21) - Guida Fonseca is an artist, researcher and trainer in weaving and tapestry, with a studio in Loures. Throughout her li…",https://www.rtp.pt/play/p16890/e949729/teia
Documentaries (Portugal),Repovoadores,Repopulators,12+,23 ago. 2026,yes,Um retrato inspirador de quem trocou a vida na grande cidade por um novo começo no interior de Portugal…,An inspiring portrait of those who traded life in the big city for a fresh start in the interior of Portugal…,https://www.rtp.pt/play/p16302/e949622/repovoadores
Documentaries (Portugal),Portuguese Soul,Portuguese Soul,8,21 ago. 2026,yes,"Terceira temporada do programa apresentado por Gisela João, o testemunho vivo de um país cheio de talentos…","The third season of the programme presented by Gisela João, living proof of a country full of talent…",https://www.rtp.pt/play/p16871/e949558/portuguese-soul
Documentaries (Portugal),Othon,Othon,1,14 ago. 2026,no,"Quando o primeiro homem percebeu que, com a ajuda de outros homens, faria mais e melhor, as coisas não voltariam a ser como dantes. Nasceram as cidad","When the first man realised that, with the help of other men, he could do more and better, things would never be the same again. Cities were born…",https://www.rtp.pt/play/p9121/e948382/othon
Documentaries (Portugal),Portugal no Mundo - Festa de São João em Clermont Ferrand,Portugal in the World - St John's Festival in Clermont-Ferrand,3,12 ago. 2026,yes,"No segundo dia das celebrações do São João em Clermont-Ferrand, percorremos as principais ruas da cidade, na companhia dos grupos folclóricos por","On the second day of the St John's celebrations in Clermont-Ferrand, we walk through the city's main streets, in the company of the Portuguese folk groups…",https://www.rtp.pt/play/p16980/e948163/portugal-no-mundo-festa-de-sao-joao-em-clermont-ferrand
Documentaries (Portugal),Portugueses pelo Mundo - Comunidades,Portuguese Around the World - Communities,12+,10 ago. 2026,yes,As histórias das comunidades portuguesas que residem no estrangeiro e a sua ligação a Portugal…,The stories of the Portuguese communities living abroad and their connection to Portugal…,https://www.rtp.pt/play/p10520/e947627/portugueses-pelo-mundo-comunidades
Documentaries (Portugal),Outra Goa,Another Goa,2,05 ago. 2026,yes,"II Parte - Nesta Outra Goa, o hinduísmo coexiste com o catolicismo, o islão, em recrudescimento no Estado, dialoga com ambos, e com eles dialogam ta","Part II - In this Other Goa, Hinduism coexists with Catholicism; Islam, resurgent in the State, engages in dialogue with both, and they also dialogue…",https://www.rtp.pt/play/p14202/e946846/outra-goa
Documentaries (Portugal),Churchill na Madeira,Churchill in Madeira,2,23 jul. 2026,no,"A Visita - 1 de janeiro de 1950. Winston Churchill chega à Madeira para 16 dias de férias. Tem, nesta altura, 75 anos de idade. Pensa descansar, pin","The Visit - 1 January 1950. Winston Churchill arrives in Madeira for a 16-day holiday. At this point he is 75 years old. He plans to rest, pai…",https://www.rtp.pt/play/p11847/e944361/churchill-na-madeira
Documentaries (Portugal),Viagem na Minha Terra,Journey Through My Homeland,7,21 jul. 2026,yes,"José Cid - Catarina Furtado faz com José Cid um percurso pelos locais de infância e juventude do cantor, desde a vila ribatejana da Chamusca, onde ","José Cid - Catarina Furtado takes a journey with José Cid through the places of the singer's childhood and youth, from the Ribatejo town of Chamusca, where…",https://www.rtp.pt/play/p16770/e944175/viagem-na-minha-terra
Documentaries (Portugal),Montado - O Bosque do Lince Ibérico,Montado - The Forest of the Iberian Lynx,1,19 jul. 2026,no,Existe um bosque ancestral na Península Ibérica que conserva uma biodiversidade extraordinária: é o Montado. Na Idade Média as comunidades rurais,"There is an ancient forest in the Iberian Peninsula that preserves extraordinary biodiversity: the Montado. In the Middle Ages, rural communities…",https://www.rtp.pt/play/p13812/e943583/montado-o-bosque-do-lince-iberico
Documentaries (Portugal),Somos Academia,We Are Academia,12+,15 jul. 2026,yes,100 Anos da Associação Protectora dos Diabéticos de Portugal - Insulina para Todos…,100 Years of the Portuguese Diabetics' Protection Association - Insulin for All…,https://www.rtp.pt/play/p16654/e942705/somos-academia
Documentaries (Portugal),"10 Mil Km, De Regresso ao Japão","10,000 Km, Back to Japan",4,09 jul. 2026,no,"Série de quatro episódios que explora os laços históricos, culturais e humanos que unem Portugal e o Japão há mais de quatro séculos. Muito al","A four-episode series exploring the historical, cultural and human ties that have linked Portugal and Japan for more than four centuries. Far be…",https://www.rtp.pt/play/p16834/e941469/10-mil-km-de-regresso-ao-japao
Documentaries (Portugal),Concentrados - Depósito de Concentrados Alemães na Ilha Terceira (1916-1919),Internees - The German Internment Depot on Terceira Island (1916-1919),6,28 jun. 2026,no,"Documentário de José Vieira Mendes, baseado num estudo do investigador Sérgio Rezendes, que revela o episódio histórico, e pouco conhecido, do De","A documentary by José Vieira Mendes, based on a study by researcher Sérgio Rezendes, which reveals the little-known historical episode of the De…",https://www.rtp.pt/play/p12690/e939322/concentrados-deposito-de-concentrados-alemaes-na-ilha-terceira-1916-1919
Documentaries (Portugal),A Mais Longa Jornada,The Longest Journey,1,27 jun. 2026,no,"No futuro próximo, um grupo de mulheres e homens fará uma viagem ao desconhecido. Esta viagem será um enorme desafio humano e tecnológico... Para ","In the near future, a group of women and men will make a journey into the unknown. This journey will be an enormous human and technological challenge... To…",https://www.rtp.pt/play/p12413/e938953/a-mais-longa-jornada
Documentaries (Portugal),José Fonseca e Costa - A Luz no Olhar,José Fonseca e Costa - The Light in His Eyes,3,26 jun. 2026,yes,Aos 82 anos o realizador José Fonseca e Costa é um cineasta de referência na filmografia nacional e símbolo de uma geração conhecida como o novo,"At 82, director José Fonseca e Costa is a leading filmmaker in national cinema and a symbol of a generation known as the new…",https://www.rtp.pt/play/p13598/e938485/jose-fonseca-e-costa-a-luz-no-olhar
Documentaries (Portugal),Daniel Faria: O Silêncio e a Palavra,Daniel Faria: Silence and the Word,1,22 jun. 2026,no,"Uma obra documental que procura desvendar o que ficou por dizer sobre Daniel Faria (1971-1999). Se fosse vivo, Daniel completaria 50 anos de idade em ","A documentary work that seeks to uncover what was left unsaid about Daniel Faria (1971-1999). Were he alive, Daniel would have turned 50 in…",https://www.rtp.pt/play/p12630/e938021/daniel-faria-o-silencio-e-a-palavra
